Name	Description	Keywords	Resources	Image	Order	Prompt (Description)	Prompt (Keywords)
Practice Mindfulness and Meditation	Practicing mindfulness and meditation can help reduce stress, improve concentration and focus, and increase overall feelings of well-being and happiness.	Disconnected, distracted, anxious, stressed, overwhelmed, tense, restless, disorganized, chaotic, ungrounded, scattered, reactive, impulsive, irritable, impatient, overthinking, worried, unfocused, indecisive, judgmental, critical, self-critical, fearful, insecure, unhappy, unfulfilled, unsatisfied, discontent, pessimistic, negative, resistant, closed-minded, avoidant, isolated, lonely, fragmented, uncentered, unbalanced, reactive, impulsive, scattered.	PLACEHOLDER	PLACEHOLDER	12	Give a brief, 1-2 sentence explanation on Practice Mindfulness and Meditation	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Practice Mindfulness and Meditation
Get Enough Sleep	Getting enough sleep is essential for optimal physical and mental health, as it allows the body to repair and rejuvenate, improves memory and cognitive function, and helps regulate mood and emotions.	Tired, fatigued, drowsy, irritable, moody, lack of concentration, forgetfulness, brain fog, difficulty making decisions, decreased productivity, decreased motivation, increased stress, decreased immune function, increased risk of accidents, increased risk of weight gain, increased risk of chronic diseases, increased risk of depression, increased risk of anxiety, increased risk of heart disease, increased risk of diabetes, increased risk of Alzheimer's disease, increased risk of stroke, decreased sex drive, decreased athletic performance, decreased coordination, decreased reaction time, increased appetite, increased cravings, decreased muscle recovery, increased inflammation, increased pain, decreased quality of life, decreased lifespan.	PLACEHOLDER	PLACEHOLDER	13	Give a brief, 1-2 sentence explanation on Get Enough Sleep	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Get Enough Sleep
Spend Time Outside	Spending time outside can improve mood and reduce stress, increase physical activity and exposure to vitamin D, and provide opportunities for relaxation and connection with nature.	Uninspired, tired, lethargic, irritable, restless, disconnected, unenergetic, unfulfilled, uninspired, lack of focus, lack of creativity, unmotivated, low mood, anxious, stressed, claustrophobic, confined, cabin fever, discontent, lack of vitamin D, pale skin, weak immune system, vitamin deficiency, muscle weakness, lack of fresh air, stuffy nose, seasonal affective disorder, eyesight strain, artificial lighting fatigue, dehydrated, deprived of nature's beauty, lack of exercise, lack of social interaction, disconnected from nature, lacking in Vitamin D, unstimulated, unchallenged.	PLACEHOLDER	PLACEHOLDER	14	Give a brief, 1-2 sentence explanation on Spend Time Outside	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Spend Time Outside
Clean your Room	Keeping your room clean and organized can reduce stress and anxiety, improve productivity and focus, and promote a sense of calm and control in your environment.	Overwhelmed, Stressed, Disorganized, Anxious, Claustrophobic, Unmotivated, Discontent, Cluttered, Unproductive, Embarrassed, Frustrated, Distracted, Uncomfortable, Uninspired, Displeased, Unsettled, Overrun, Confused, Irritated, Overlooked, Depressed, Chaotic, Unaccomplished, Crowded, Restless, Annoyed, Ashamed, Stifled, Unhappy, Restless, Repelled, Unmotivated, Overpowered, Limited, Trapped, Neglected, Burdened, Uneasy	PLACEHOLDER	PLACEHOLDER	15	Give a brief, 1-2 sentence explanation on Clean your Room	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Clean your Room
Avoid Multitasking	Avoiding multitasking can improve focus and productivity, reduce stress and overwhelm, and help you complete tasks more efficiently and effectively.	Feeling overwhelmed, scattered, unfocused, stressed, unproductive, distracted, frustrated, inefficient, disorganized, anxious, forgetful, pressured, disengaged, confused, irritated, burned out, scattered attention, inability to prioritize, lack of clarity, reduced cognitive performance, decreased quality of work, difficulty completing tasks, low motivation, fatigue, decreased creativity, inability to concentrate, decreased task completion, reduced ability to learn, forgetfulness, increased errors, decreased ability to problem-solve, time pressure, decreased productivity, inability to retain information, difficulty making decisions, feeling rushed.	PLACEHOLDER	PLACEHOLDER	16	Give a brief, 1-2 sentence explanation on Avoid Multitasking	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Avoid Multitasking
Surround Yourself with Positive People	Surrounding yourself with positive people can improve mood and well-being, provide support and encouragement, and help you adopt a more optimistic outlook on life.	Drained, overwhelmed, negative, pessimistic, doubtful, unsupported, unmotivated, uninspired, insecure, disheartened, stressed, anxious, irritable, unfulfilled, unhappy, unappreciated, unchallenged, disrespected, unconfident, disconnected, unsupported, unmotivated, pessimistic, unhappy, unfulfilled, unsupported, disrespected, unappreciated, unmotivated, uninspired, disengaged, discouraged, disconnected, frustrated, drained, stressed, unsupported, pessimistic, doubtful.	PLACEHOLDER	PLACEHOLDER	17	Give a brief, 1-2 sentence explanation on Surround Yourself with Positive People	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Surround Yourself with Positive People
Practice Good Hygiene	Practicing good hygiene, such as washing your hands regularly and showering daily, can prevent the spread of illness, promote physical health, and improve self-esteem and confidence.	Feeling dirty, unclean, self-conscious, embarrassed, insecure, anxious, smelly, uncomfortable, unapproachable, unhealthy, sick, susceptible to illness, unpleasant, unfresh, unkempt, unattractive, ashamed, neglected, disrespected, unprofessional, avoidant, isolated, judged, gross, unhygienic, uninviting, repulsive, unappealing, unconfident, unwelcome, unprepared, discouraged, unmotivated, disorganized, unproductive, unwell, vulnerable, unwanted, disliked.	PLACEHOLDER	PLACEHOLDER	18	Give a brief, 1-2 sentence explanation on Practice Good Hygiene	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Practice Good Hygiene
Deditate Time for Socialization / Relationship Building	Dedicating time for socialization and relationship building can improve social skills and communication, reduce feelings of loneliness and isolation, and increase overall happiness and well-being.	Feeling lonely, isolated, disconnected, lacking social support, missing out on social experiences, difficulty forming and maintaining relationships, feeling unfulfilled in personal life, experiencing conflict in relationships, limited social circle, missing out on opportunities for growth and learning through social interaction, feeling like an outsider or excluded, lacking intimacy or connection, feeling unsupported in times of need, feeling misunderstood or unappreciated, struggling to communicate effectively, feeling stuck in negative patterns in relationships, missing out on shared experiences and memories, feeling disconnected from community or society.	PLACEHOLDER	PLACEHOLDER	19	Give a brief, 1-2 sentence explanation on Deditate Time for Socialization / Relationship Building	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Deditate Time for Socialization / Relationship Building
Showcase Creativity through the Arts	Showcasing creativity through the arts, such as painting, writing, or music, can improve self-expression and communication, reduce stress and anxiety, and promote personal growth and self-discovery.	Lack of fulfillment, unexpressed potential, boredom, unfulfilled curiosity, unfulfilled passion, unfulfilled creativity, lack of accomplishment, unexplored talent, lack of self-expression, lack of inspiration, unfulfilled need for self-expression, lack of outlet, unfulfilled artistic expression, unfulfilled desire for self-expression, lack of connection to inner self, lack of connection to others, lack of imagination, unfulfilled emotional expression, lack of outlet for emotions, unfulfilled need for beauty, unfulfilled need for meaning, unfulfilled need for aesthetics, lack of identity, lack of exploration, unfulfilled intellectual expression, unfulfilled need for self-discovery, lack of purpose, unfulfilled potential, unfulfilled desire to communicate, unfulfilled desire to share, unfulfilled desire to connect, unfulfilled need for self-discovery, unfulfilled need for self-reflection, unfulfilled need for introspection, lack of personal growth, lack of self-improvement, unfulfilled desire for self-discovery, unfulfilled desire for personal growth.	PLACEHOLDER	PLACEHOLDER	20	Give a brief, 1-2 sentence explanation on Showcase Creativity through the Arts	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Showcase Creativity through the Arts
Volunteer	Volunteering can provide a sense of purpose and fulfillment, help you connect with your community and meet new people, and improve self-esteem and overall well-being. 	Feeling unfulfilled, purposeless, self-centered, unsatisfied, disconnected, isolated, ungrateful, uninspired, unmotivated, guilty, unappreciative, unhelpful, unproductive, selfish, ungenerous, uninvolved, apathetic, bored, dissatisfied, stagnant, lacking purpose, unimportant, unsupported, irrelevant, unneeded, unacknowledged, unimportant, insignificant, unimpactful, unrewarded, unvalued, unappreciated, unnoticed, unacknowledged, uncelebrated, unmemorable, disempowered.	PLACEHOLDER	PLACEHOLDER	21	Give a brief, 1-2 sentence explanation on Volunteer	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Volunteer
Develop Healthy Eating Habits	Developing healthy eating habits, like eating a variety of fruits, vegetables, and whole grains, can give you more energy, make you feel better, and reduce the chance of getting sick.	Stressed, bloated, lethargic, low energy, digestive issues, unhealthy, nutrient-deficient, weight gain, mood swings, cravings, unhealthy cravings, guilt, shame, regret, low self-esteem, lack of self-control, unhappy with body, unbalanced, unwell, inadequate nutrition, malnourished, weak immune system, increased risk of disease, inflammation, lack of mental clarity, foggy brain, decreased productivity, low motivation, sluggish, tired, bad skin, premature aging, low confidence, poor body image, limited food options, feeling deprived, deprived of essential nutrients, addiction to junk food.	PLACEHOLDER	PLACEHOLDER	22	Give a brief, 1-2 sentence explanation on Develop Healthy Eating Habits	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Develop Healthy Eating Habits
Develop New Skills	Developing new skills, whether it be through online courses, workshops, or simply trying new things, can help keep your mind sharp, increase creativity, and provide a sense of accomplishment and personal growth.	Lacking confidence, stagnation, feeling unfulfilled, limited opportunities, boredom, missed experiences, self-doubt, lack of growth, unchallenged, lack of accomplishment, fear of failure, anxiety, self-conscious, regret, complacency, inadequacy, envy, self-sabotage, low self-esteem, feeling stuck, lack of purpose, underachievement, imposter syndrome, comparison to others, frustration, unhappiness, monotony, lack of motivation, resentment, fear of change, boredom, insecurity, lack of direction, disappointment, mediocrity, disconnection, isolation.	PLACEHOLDER	PLACEHOLDER	23	Give a brief, 1-2 sentence explanation on Develop New Skills	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Develop New Skills
Do Kind Acts for Others	Doing nice things for others, like giving a compliment or helping someone out, can make you feel good about yourself and bring people closer together.	Feeling self-centered, unfulfilled, unsatisfied, ungenerous, unappreciative, disconnected, unempathetic, uncompassionate, lacking purpose, unhelpful, isolated, uninvolved, ungrateful, unhappy, self-absorbed, uncaring, unloving, unkind, uncharitable, unconsiderate, unsharing, egocentric, narcissistic, unsympathetic, unthoughtful, unfeeling, unresponsive, uncooperative, unsupportive, uncommitted, uninvolved, detached, unengaged, apathetic, uncivil, uncooperative, uncollaborative.	PLACEHOLDER	PLACEHOLDER	24	Give a brief, 1-2 sentence explanation on Do Kind Acts for Others	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Do Kind Acts for Others
Say Affirmations Daily	Saying affirmations daily, such as positive statements about yourself or your goals, can improve self-confidence and self-esteem, rewire negative thought patterns, and promote a more positive outlook on life.	Self-doubt, insecurity, negative self-talk, lack of motivation, low self-esteem, pessimism, anxiety, stress, fear, worry, hopelessness, depression, self-criticism, lack of confidence, pessimistic attitude, feelings of failure, lack of direction, lack of purpose, lack of self-awareness, lack of self-acceptance, lack of self-love, lack of self-worth, lack of positivity, lack of gratitude, lack of resilience, lack of optimism, lack of enthusiasm, lack of inspiration, lack of joy, lack of creativity, lack of imagination, lack of mindfulness, lack of awareness, lack of spiritual connection, lack of growth mindset, lack of personal development.	PLACEHOLDER	PLACEHOLDER	25	Give a brief, 1-2 sentence explanation on Say Affirmations Daily	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Say Affirmations Daily
